,Title,Average Score,Standard Deviation,Individual Scores,Author-defined Area
1,Meta Continual Learning Revisited: Implicitly Enhancing Online Hessian Approximation via Variance Reduction,8.666666666666666,0.9428090415820634,10;8;8,"transfer learning, meta learning, and lifelong learning"
2,Monte Carlo guided Denoising Diffusion models for Bayesian linear inverse problems.,8.5,1.6583123951777,6;10;8;10,"probabilistic methods (Bayesian methods, variational inference, sampling, UQ, etc.)"
3,BooookScore: A systematic exploration of book-length summarization in the era of LLMs,8.5,0.8660254037844386,8;10;8;8,datasets and benchmarks
4,Generalization in diffusion models arises from geometry-adaptive harmonic representation,8.5,0.8660254037844386,8;8;10;8,generative models
5,LRM: Large Reconstruction Model for Single Image to 3D,8.5,0.8660254037844386,10;8;8;8,"representation learning for computer vision, audio, language, and other modalities"
6,The mechanistic basis of data dependence and abrupt learning in an in-context classification task,8.25,2.0463381929681126,5;8;10;10,"general machine learning (i.e., none of the above)"
7,PF-LRM: Pose-Free Large Reconstruction Model for Joint Pose and Shape Prediction,8.0,0.0,8;8;8;8,"representation learning for computer vision, audio, language, and other modalities"
8,Privacy-Preserving In-Context Learning with Differentially Private Few-Shot Generation,8.0,0.0,8;8;8;8,"societal considerations including fairness, safety, privacy"
9,Magnushammer: A Transformer-Based Approach to Premise Selection,8.0,0.0,8;8;8;8,"neurosymbolic & hybrid AI systems (physics-informed, logic & formal reasoning, etc.)"
10,Q-TAPE: A Task-Agnostic Pre-Trained Approach for Quantum Properties Estimation,8.0,0.0,8;8;8;8,"applications to physical sciences (physics, chemistry, biology, etc.)"
11,CADS: Unleashing the Diversity of Diffusion Models through Condition-Annealed Sampling,8.0,0.0,8;8;8,generative models
12,How Over-Parameterization Slows Down Gradient Descent in Matrix Sensing: The Curses of Symmetry and Initialization,8.0,0.0,8;8;8;8,learning theory
13,ModernTCN: A Modern Pure Convolution Structure for General Time Series Analysis,8.0,0.0,8;8;8,"representation learning for computer vision, audio, language, and other modalities"
14,Multi-granularity Correspondence Learning from Noisy Instructional Videos,8.0,0.0,8;8;8;8,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
15,Algorithms for Caching and MTS with reduced number of predictions,8.0,0.0,8;8;8;8,learning theory
16,Learning Energy Decompositions for Partial Inference of GFlowNets,8.0,0.0,8;8;8;8,generative models
17,Learning to Reject for Balanced Error and Beyond,8.0,0.0,8;8;8;8,learning theory
18,Online GNN Evaluation Under Test-time Graph Distribution Shifts,8.0,0.0,8;8;8;8,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
19,Test-time Adaption against Multi-modal Reliability Bias,8.0,0.0,8;8;8;8,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
20,Stochastic Controlled Averaging for Federated Learning with Communication Compression,8.0,0.0,8;8;8,optimization
21,Learning Hierarchical Image Segmentation For Recognition and By Recognition,8.0,1.4142135623730951,8;6;10;8,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
22,Language Model Beats Diffusion - Tokenizer is key to visual generation,8.0,0.0,8;8;8,generative models
23,Exploring the Common Appearance-Boundary Adaptation for Nighttime Optical Flow,8.0,1.632993161855452,10;8;6,"transfer learning, meta learning, and lifelong learning"
24,Large Language Models to Enhance Bayesian Optimization,8.0,0.0,8;8;8;8,optimization
25,Solving Multiobjective Combinatorial Optimization via Learn to Improve Method,8.0,0.0,8;8;8;8,reinforcement learning
26,A Benchmark on Robust Semi-Supervised Learning in Open Environments,8.0,0.0,8;8;8;8,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
27,Dynamic Discounted Counterfactual Regret Minimization,8.0,0.0,8;8;8;8,"general machine learning (i.e., none of the above)"
28,SyncDreamer: Generating Multiview-consistent Images from a Single-view Image,8.0,1.2649110640673518,8;10;8;8;6,generative models
29,Scaling Laws of RoPE-based Extrapolation,8.0,1.632993161855452,8;6;10,"general machine learning (i.e., none of the above)"
30,Latent Trajectory Learning for Limited Timestamps under Distribution Shift over Time,8.0,0.0,8;8;8;8,"transfer learning, meta learning, and lifelong learning"
31,Deep Orthogonal Hypersphere Compression for Anomaly Detection,8.0,0.0,8;8;8;8,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
32,Sample-Efficient Quality-Diversity by Cooperative Coevolution,8.0,0.0,8;8;8,reinforcement learning
33,Multi-Source Diffusion Models for Simultaneous Music Generation and Separation,8.0,0.0,8;8;8;8,generative models
34,GIM: Learning Generalizable Image Matcher From Internet Videos,8.0,1.4142135623730951,6;8;10;8,"applications to robotics, autonomy, planning"
35,Beyond Weisfeiler-Lehman: A Quantitative Framework for GNN Expressiveness,8.0,1.4142135623730951,8;10;8;6,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
36,Approximating Nash Equilibria in Normal-Form Games via Stochastic Optimization,8.0,0.0,8;8;8,"general machine learning (i.e., none of the above)"
37,Batched Low-Rank Adaptation of Foundation Models,8.0,0.0,8;8;8;8,generative models
38,Robust Classification via a Single Diffusion Model,8.0,0.0,8;8;8,"societal considerations including fairness, safety, privacy"
39,Never Train from Scratch: Fair Comparison of Long-Sequence Models Requires Data-Driven Priors,8.0,0.0,8;8;8;8,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
40,Large Language Models are Efficient Learners of Noise-Robust Speech Recognition,8.0,1.4142135623730951,8;6;10;8,"representation learning for computer vision, audio, language, and other modalities"
41,SDXL: Improving Latent Diffusion Models for High-Resolution Image Synthesis,8.0,0.0,8;8;8;8,generative models
42,Universal Graph Random Features,8.0,0.0,8;8;8;8,learning on graphs and other geometries & topologies
43,Generalization error of spectral algorithms,8.0,0.0,8;8;8,learning theory
44,MOFDiff: Coarse-grained Diffusion for Metal-Organic Framework Design,8.0,0.0,8;8;8;8,"applications to physical sciences (physics, chemistry, biology, etc.)"
45,Universal Humanoid Motion Representations for Physics-Based Control,8.0,0.0,8;8;8,"representation learning for computer vision, audio, language, and other modalities"
46,Privileged Sensing Scaffolds Reinforcement Learning,8.0,1.4142135623730951,10;8;8;6,reinforcement learning
47,Mastering Memory Tasks with World Models,8.0,1.632993161855452,6;8;10,reinforcement learning
48,How to Capture Higher-order Correlations? Generalizing Matrix Softmax Attention to Kronecker Computation,8.0,0.0,8;8;8,learning theory
49,Identifying Representations for Intervention Extrapolation,8.0,0.0,8;8;8;8,causal reasoning
50,Small-scale proxies for large-scale Transformer training instabilities,8.0,0.0,8;8;8;8,optimization
51,Noisy Interpolation Learning with Shallow Univariate ReLU Networks,8.0,0.0,8;8;8,learning theory
52,Distributionally Robust Optimization with Bias & Variance Reduced Gradients,8.0,0.0,8;8;8;8,optimization
53,ClimODE: Climate Forecasting With Physics-informed Neural ODEs,8.0,0.0,8;8;8;8,"applications to physical sciences (physics, chemistry, biology, etc.)"
54,GenSim: Generating Robotic Simulation Tasks via Large Language Models,8.0,0.0,8;8;8;8,"applications to robotics, autonomy, planning"
55,Step-Back Prompting Enables Reasoning Via Abstraction in Large Language Models,8.0,0.0,8;8;8,generative models
56,Knowledge Card: Filling LLMs' Knowledge Gaps with Plug-in Specialized Language Models,8.0,0.0,8;8;8,"representation learning for computer vision, audio, language, and other modalities"
57,Self-Alignment with Instruction Backtranslation,8.0,0.0,8;8;8;8,generative models
58,Inherently Interpretable Time Series Classification via Multiple Instance Learning,8.0,0.0,8;8;8;8,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
59,DMV3D: Denoising Multi-view Diffusion Using 3D Large Reconstruction Model,8.0,1.4142135623730951,10;8;6;8,generative models
60,"Detecting, Explaining, and Mitigating Memorization in Diffusion Models",8.0,0.0,8;8;8;8,generative models
61,Turning large language models into cognitive models,8.0,0.0,8;8;8;8,applications to neuroscience & cognitive science
62,Topological data analysis on noisy quantum computers,8.0,0.0,8;8;8;8,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
63,Implicit bias of SGD in $L_2$-regularized linear DNNs: One-way jumps from high to low rank,7.75,1.7853571071357126,8;8;5;10,learning theory
64,"Sudden Drops in the Loss: Syntax Acquisition, Phase Transitions, and Simplicity Bias in MLMs",7.75,1.7853571071357126,5;8;8;10,visualization or interpretation of learned representations
65,Towards a statistical theory of data selection under weak supervision,7.75,1.7853571071357126,8;5;8;10,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
66,Differentiable Trajectory Optimization as a Policy Class for Reinforcement and Imitation Learning,7.75,1.7853571071357126,10;8;5;8,"applications to robotics, autonomy, planning"
67,Spectrally Transformed Kernel Regression,7.6,0.7999999999999999,8;6;8;8;8,learning theory
68,Space and time continuous physics simulation from partial observations,7.6,0.7999999999999999,8;8;8;6;8,"applications to physical sciences (physics, chemistry, biology, etc.)"
69,COLLIE: Systematic Construction of Constrained Text Generation Tasks,7.5,1.6583123951777,6;8;6;10,datasets and benchmarks
70,Sophia: A Scalable Stochastic Second-order Optimizer for Language Model Pre-training,7.5,0.8660254037844386,8;8;6;8,optimization
71,How I Warped Your Noise: a Temporally-Correlated Noise Prior for Diffusion Models,7.5,0.8660254037844386,6;8;8;8,generative models
72,FITS: Modeling Time Series with $10k$ Parameters,7.5,0.8660254037844386,8;8;6;8,"general machine learning (i.e., none of the above)"
73,"Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection",7.5,0.8660254037844386,8;8;8;6,"representation learning for computer vision, audio, language, and other modalities"
74,An Efficient Membership Inference Attack for the Diffusion Model by Proximal Initialization,7.5,0.8660254037844386,8;6;8;8,"societal considerations including fairness, safety, privacy"
75,Vision Transformers Need Registers,7.5,0.8660254037844386,8;6;8;8,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
76,Unleashing the Potential of Fractional Calculus in Graph Neural Networks with FROND,7.5,0.8660254037844386,8;8;6;8,learning on graphs and other geometries & topologies
77,Reasoning on Graphs: Faithful and Interpretable Large Language Model Reasoning,7.5,0.8660254037844386,8;6;8;8,"general machine learning (i.e., none of the above)"
78,Training-free Linear Image Inversion via Flows,7.5,0.8660254037844386,6;8;8;8,generative models
79,A Probabilistic Framework for Modular Continual Learning,7.5,0.8660254037844386,8;8;8;6,"transfer learning, meta learning, and lifelong learning"
80,Idempotence and Perceptual Image Compression,7.5,0.8660254037844386,6;8;8;8,generative models
81,Revitalizing Channel-dimension Fourier Transform for Image Enhancement,7.5,1.6583123951777,8;10;6;6,"representation learning for computer vision, audio, language, and other modalities"
82,Real3D-Portrait: One-shot Realistic 3D Talking Portrait Synthesis,7.5,0.8660254037844386,8;8;8;6,generative models
83,Querying Easily Flip-flopped Samples for Deep Active Learning,7.5,1.6583123951777,6;6;8;10,"general machine learning (i.e., none of the above)"
84,SalUn: Empowering Machine Unlearning via Gradient-based Weight Saliency in Both Image Classification and Generation,7.5,0.8660254037844386,8;6;8;8,"societal considerations including fairness, safety, privacy"
85,MOTOR: A Time-To-Event Foundation Model For Structured Medical Records,7.5,0.8660254037844386,8;8;6;8,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
86,Sample-Efficient Linear Representation Learning from Non-IID Non-Isotropic Data,7.5,0.8660254037844386,8;8;6;8,learning theory
87,Understanding and Mitigating the Label Noise in Pre-training on Downstream Tasks,7.5,1.6583123951777,10;6;8;6,"transfer learning, meta learning, and lifelong learning"
88,"TD-MPC2: Scalable, Robust World Models for Continuous Control",7.5,0.8660254037844386,8;6;8;8,reinforcement learning
89,The Expressive Power of Transformers with Chain of Thought,7.5,0.8660254037844386,6;8;8;8,"general machine learning (i.e., none of the above)"
90,Facing the Elephant in the Room: Visual Prompt Tuning or Full finetuning?,7.5,0.8660254037844386,8;8;6;8,"representation learning for computer vision, audio, language, and other modalities"
91,Depthwise Hyperparameter Transfer in Residual Networks: Dynamics and Scaling Limit,7.5,0.8660254037844386,8;6;8;8,optimization
92,CrIBo: Self-Supervised Learning via Cross-Image Object-Level Bootstrapping,7.5,1.6583123951777,6;6;8;10,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
93,Fast Imitation via Behavior Foundation Models,7.5,0.8660254037844386,8;6;8;8,reinforcement learning
94,Robust agents learn causal world models,7.5,1.6583123951777,8;6;10;6,causal reasoning
95,Privacy Amplification for Matrix Mechanisms,7.5,0.8660254037844386,8;6;8;8,"societal considerations including fairness, safety, privacy"
96,RealChat-1M: A Large-Scale Real-World LLM Conversation Dataset,7.5,0.8660254037844386,6;8;8;8,datasets and benchmarks
97,CLAP: Collaborative Adaptation for Checkerboard Learning,7.5,0.8660254037844386,6;8;8;8,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
98,Provable Reward-Agnostic Preference-Based Reinforcement Learning,7.5,0.8660254037844386,8;8;8;6,reinforcement learning
99,Bounding Box Stability against Feature Dropout Reflects Detector Generalization across Environments,7.5,1.6583123951777,6;6;8;10,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
100,Learning to Relax: Setting Solver Parameters Across a Sequence of Linear System Instances,7.5,0.8660254037844386,8;8;6;8,learning theory
101,METRA: Scalable Unsupervised RL with Metric-Aware Abstraction,7.5,0.8660254037844386,8;6;8;8,reinforcement learning
102,A Simple Romance Between Multi-Exit Vision Transformer and Token Reduction,7.5,0.8660254037844386,8;6;8;8,"representation learning for computer vision, audio, language, and other modalities"
103,Zipformer: A faster and better encoder for automatic speech recognition,7.5,0.8660254037844386,8;6;8;8,"representation learning for computer vision, audio, language, and other modalities"
104,DP-OPT: Make Large Language Model Your Differentially-Private Prompt Engineer,7.5,0.8660254037844386,8;8;6;8,"societal considerations including fairness, safety, privacy"
105,Safe RLHF: Safe Reinforcement Learning from Human Feedback,7.5,0.8660254037844386,8;6;8;8,reinforcement learning
106,Faster Approximation of Probabilistic and Distributional Values via Least Squares,7.5,0.8660254037844386,8;6;8;8,"general machine learning (i.e., none of the above)"
107,Towards Reliable and Efficient Backdoor Trigger Inversion via Decoupling Benign Features,7.5,0.8660254037844386,8;8;6;8,"societal considerations including fairness, safety, privacy"
108,Improving Convergence and Generalization Using Parameter Symmetries,7.5,0.8660254037844386,6;8;8;8,optimization
109,SGD Finds then Tunes Features in Two-Layer Neural Networks with near-Optimal Sample Complexity: A Case Study in the XOR problem,7.5,0.8660254037844386,8;8;8;6,learning theory
110,"Asymptotically Free Sketched Ridge Ensembles: Risks, Cross-Validation, and Tuning",7.5,0.8660254037844386,6;8;8;8,learning theory
111,The Curse of Diversity in Ensemble-Based Exploration,7.5,0.8660254037844386,8;6;8;8,reinforcement learning
112,From Sparse to Soft Mixtures of Experts,7.5,0.8660254037844386,8;8;8;6,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
